date,python,r
5/20/12,50,11
5/27/12,49,10
6/3/12,50,10
6/10/12,50,10
6/17/12,49,11
6/24/12,50,9
7/1/12,50,9
7/8/12,50,10
7/15/12,51,10
7/22/12,50,11
7/29/12,48,9
8/5/12,49,10
8/12/12,49,9
8/19/12,49,10
8/26/12,49,10
9/2/12,51,11
9/9/12,53,10
9/16/12,53,11
9/23/12,54,11
9/30/12,53,12
10/7/12,54,11
10/14/12,55,11
10/21/12,55,12
10/28/12,52,10
11/4/12,49,10
11/11/12,52,11
11/18/12,50,10
11/25/12,52,11
12/2/12,51,11
12/9/12,52,11
12/16/12,47,11
12/23/12,38,8
12/30/12,38,9
1/6/13,49,11
1/13/13,51,11
1/20/13,54,11
1/27/13,53,12
2/3/13,53,12
2/10/13,53,11
2/17/13,56,11
2/24/13,57,12
3/3/13,59,12
3/10/13,57,11
3/17/13,58,11
3/24/13,57,11
3/31/13,55,11
4/7/13,58,11
4/14/13,58,12
4/21/13,60,11
4/28/13,54,11
5/5/13,55,11
5/12/13,57,12
5/19/13,54,11
5/26/13,54,11
6/2/13,54,12
6/9/13,54,11
6/16/13,55,11
6/23/13,55,10
6/30/13,54,10
7/7/13,56,10
7/14/13,55,11
7/21/13,54,11
7/28/13,52,10
8/4/13,52,10
8/11/13,52,10
8/18/13,54,10
8/25/13,53,11
9/1/13,54,11
9/8/13,58,11
9/15/13,56,11
9/22/13,60,12
9/29/13,57,12
10/6/13,61,13
10/13/13,61,12
10/20/13,64,13
10/27/13,61,12
11/3/13,61,13
11/10/13,62,13
11/17/13,63,13
11/24/13,58,13
12/1/13,59,12
12/8/13,59,13
12/15/13,56,11
12/22/13,44,8
12/29/13,44,8
1/5/14,55,11
1/12/14,58,12
1/19/14,60,12
1/26/14,59,13
2/2/14,59,12
2/9/14,61,12
2/16/14,62,12
2/23/14,64,13
3/2/14,64,13
3/9/14,63,13
3/16/14,64,13
3/23/14,63,12
3/30/14,62,14
4/6/14,64,14
4/13/14,62,15
4/20/14,62,14
4/27/14,59,13
5/4/14,61,14
5/11/14,60,13
5/18/14,60,14
5/25/14,55,13
6/1/14,57,13
6/8/14,57,13
6/15/14,57,13
6/22/14,56,12
6/29/14,56,12
7/6/14,58,13
7/13/14,57,13
7/20/14,58,13
7/27/14,56,12
8/3/14,58,13
8/10/14,54,12
8/17/14,56,13
8/24/14,57,12
8/31/14,58,13
9/7/14,60,14
9/14/14,63,15
9/21/14,64,14
9/28/14,65,13
10/5/14,65,14
10/12/14,62,14
10/19/14,64,14
10/26/14,64,14
11/2/14,65,14
11/9/14,66,15
11/16/14,65,16
11/23/14,62,14
11/30/14,64,15
12/7/14,66,15
12/14/14,60,13
12/21/14,46,10
12/28/14,43,9
1/4/15,57,13
1/11/15,61,15
1/18/15,62,15
1/25/15,64,15
2/1/15,66,15
2/8/15,66,15
2/15/15,63,15
2/22/15,66,16
3/1/15,68,16
3/8/15,67,15
3/15/15,68,16
3/22/15,69,16
3/29/15,68,14
4/5/15,66,15
4/12/15,67,16
4/19/15,68,16
4/26/15,66,16
5/3/15,66,15
5/10/15,65,15
5/17/15,66,16
5/24/15,63,14
5/31/15,66,15
6/7/15,67,15
6/14/15,68,15
6/21/15,65,15
6/28/15,63,14
7/5/15,64,15
7/12/15,66,15
7/19/15,66,15
7/26/15,64,15
8/2/15,63,15
8/9/15,62,14
8/16/15,64,15
8/23/15,69,15
8/30/15,67,14
9/6/15,69,15
9/13/15,72,14
9/20/15,71,15
9/27/15,70,15
10/4/15,74,16
10/11/15,74,17
10/18/15,74,17
10/25/15,73,16
11/1/15,77,17
11/8/15,73,15
11/15/15,75,17
11/22/15,71,16
11/29/15,74,16
12/6/15,77,16
12/13/15,73,16
12/20/15,59,12
12/27/15,51,10
1/3/16,69,15
1/10/16,73,16
1/17/16,77,16
1/24/16,78,17
1/31/16,77,17
2/7/16,73,17
2/14/16,75,17
2/21/16,79,16
2/28/16,79,16
3/6/16,79,18
3/13/16,80,19
3/20/16,76,17
3/27/16,76,17
4/3/16,79,17
4/10/16,81,18
4/17/16,82,18
4/24/16,79,17
5/1/16,75,17
5/8/16,78,17
5/15/16,78,16
5/22/16,79,17
5/29/16,77,17
6/5/16,77,18
6/12/16,77,17
6/19/16,78,16
6/26/16,75,16
7/3/16,73,16
7/10/16,76,15
7/17/16,79,16
7/24/16,78,17
7/31/16,77,15
8/7/16,74,16
8/14/16,74,14
8/21/16,79,17
8/28/16,79,16
9/4/16,79,16
9/11/16,83,16
9/18/16,88,17
9/25/16,89,18
10/2/16,86,17
10/9/16,89,17
10/16/16,89,19
10/23/16,87,18
10/30/16,87,17
11/6/16,84,17
11/13/16,91,20
11/20/16,83,18
11/27/16,89,19
12/4/16,88,19
12/11/16,85,18
12/18/16,77,15
12/25/16,63,12
1/1/17,73,14
1/8/17,84,16
1/15/17,89,17
1/22/17,88,18
1/29/17,89,18
2/5/17,93,18
2/12/17,95,20
2/19/17,98,20
2/26/17,99,19
3/5/17,95,20
3/12/17,98,19
3/19/17,98,21
3/26/17,100,20
4/2/17,97,20
4/9/17,97,20
4/16/17,95,19
4/23/17,95,20
4/30/17,93,19
5/7/17,97,20
,,